MyUnknownColumn,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
1,5009744,F,Y,N,0,315000,"Commercial associate","Higher education",Married,"House / apartment",-13557,-586,1,1,1,0,Laborers,2,1
2,5009746,F,Y,N,0,315000,"Commercial associate","Higher education",Married,"House / apartment",-16040.34207,-586,1,1,1,0,Laborers,2,1
3,5009749,F,Y,N,0,191399.3262,"Commercial associate","Higher education",Married,"House / apartment",-13557,-586,1,1,1,0,Laborers,2,1
4,5009752,F,Y,N,0,315000,"Commercial associate","Higher education",Married,"House / apartment",-13557,-586,1,1,1,0,Laborers,2,1
6,5009754,F,Y,N,0,315000,"Commercial associate","Higher education",Married,"House / apartment",-13557,-586,1,1,1,0,Laborers,2,1
7,5009894,F,N,N,0,180000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22134,365243,1,0,0,0,Laborers,2,1
11,5018498,F,Y,Y,0,90000,Working,"Secondary / secondary special",Married,"House / apartment",-18950,-1002,1,1,1,0,"Cooking staff",2,1
12,5018501,F,Y,Y,0,191399.3262,Working,"Secondary / secondary special",Married,"House / apartment",-18950,-1002,1,1,1,0,"Cooking staff",2,1
13,5018503,F,Y,Y,0,90000,Working,"Secondary / secondary special",Married,"House / apartment",-18950,-1002,1,1,1,0,"Cooking staff",2,1
23,5023831,F,N,Y,2,112500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-12135,-925,1,0,0,0,"Sales staff",4,1
24,5024071,F,N,Y,0,180000,Working,"Higher education",Married,"House / apartment",-15976,-854,1,0,0,0,Laborers,2,1
25,5024213,F,Y,Y,0,540000,"Commercial associate","Higher education",Married,"House / apartment",-15702,-185,1,0,1,0,Laborers,2,1
26,5024916,F,N,Y,0,112500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21832,365243,1,0,1,0,Laborers,2,1
27,5024917,F,N,Y,0,191399.3262,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21832,365243,1,0,1,0,Laborers,2,1
31,5029311,F,N,Y,0,112500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21876,365243,1,0,1,1,Laborers,2,1
33,5033514,F,Y,N,1,135000,Working,"Secondary / secondary special",Married,"House / apartment",-15952,-384,1,1,0,0,"Sales staff",3,1
37,5036660,F,Y,Y,0,76500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-23835,365243,1,0,0,0,Laborers,2,1
40,5042064,F,Y,N,2,270000,"State servant","Higher education",Married,"House / apartment",-16053,-7369,1,1,1,0,Laborers,4,1
46,5047662,F,N,Y,1,67500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-18880,-4114,1,0,0,0,Accountants,3,1
54,5052659,F,N,Y,0,103500,Working,"Secondary / secondary special",Married,"House / apartment",-10396,-564,1,0,0,1,"IT staff",2,1
55,5052661,F,N,Y,0,103500,Working,"Secondary / secondary special",Married,"House / apartment",-10396,-564,1,0,0,1,"IT staff",2,1
59,5053254,F,Y,Y,0,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-18667,-2150,1,1,0,0,Managers,2,1
62,5054524,F,N,N,2,180000,Working,"Secondary / secondary special",Married,"House / apartment",-16611,-8369,1,0,0,0,Laborers,4,1
73,5061636,F,N,Y,0,225000,Pensioner,"Secondary / secondary special",Married,"Municipal apartment",-21664,365243,1,0,1,0,Laborers,2,1
74,5061691,F,N,Y,1,67500,"Commercial associate","Higher education",Married,"House / apartment",-9122,-1567,1,0,0,1,"Waiters/barmen staff",3,1
77,5065348,F,Y,Y,0,202500,Working,"Higher education",Married,"House / apartment",-15160,-3974,1,0,0,0,"High skill tech staff",2,1
78,5065462,F,N,N,0,157500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-19004,-1570,1,0,0,0,Laborers,2,1
79,5065518,F,Y,N,1,202500,Working,"Higher education",Married,"Rented apartment",-9510,-2878,1,0,0,0,Laborers,3,1
81,5068456,F,Y,N,0,135000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-13581,-2576,1,0,0,0,Laborers,2,1
83,5069216,F,Y,Y,0,256500,"Commercial associate","Higher education",Married,"House / apartment",-11210,-1724,1,1,0,0,Accountants,2,1
86,5078820,F,N,N,2,225000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-14476,-4987,1,0,0,0,"High skill tech staff",4,1
93,5089162,F,Y,N,0,225000,Working,"Higher education",Married,"House / apartment",-20264,-2531,1,1,1,0,Accountants,2,1
99,5092245,F,N,N,0,103500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22111,365243,1,0,0,0,Laborers,2,1
104,5097065,F,N,Y,0,121500,Working,"Secondary / secondary special",Married,"House / apartment",-18971,-8161,1,0,0,0,Managers,2,1
108,5106077,F,N,Y,0,135000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-19764,-6944,1,0,0,0,"Medicine staff",2,1
111,5113944,F,Y,N,0,135000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-23324,365243,1,0,1,0,Laborers,2,1
114,5115604,F,N,Y,0,202500,Working,"Secondary / secondary special",Married,"House / apartment",-14523,-3420,1,0,0,0,"Core staff",2,1
115,5115606,F,N,Y,0,202500,Working,"Secondary / secondary special",Married,"House / apartment",-14523,-3420,1,0,0,0,"Core staff",2,1
116,5115608,F,N,Y,0,202500,Working,"Secondary / secondary special",Married,"House / apartment",-14523,-3420,1,0,0,0,"Core staff",2,1
117,5115610,F,N,Y,0,202500,Working,"Secondary / secondary special",Married,"House / apartment",-14523,-3420,1,0,0,0,"Core staff",2,1
121,5116258,F,N,Y,4,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-17468,-7413,1,0,0,0,"Core staff",6,1
122,5116301,F,N,Y,0,180000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22655,365243,1,0,0,0,Laborers,2,1
123,5116302,F,N,Y,0,180000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22655,365243,1,0,0,0,Laborers,2,1
124,5116304,F,N,Y,0,180000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22655,365243,1,0,0,0,Laborers,2,1
125,5116305,F,N,Y,0,191399.3262,Pensioner,"Secondary / secondary special",Married,"House / apartment",-22655,365243,1,0,0,0,Laborers,2,1
127,5117313,F,N,Y,1,157500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-13022,-3931,1,1,1,0,Laborers,3,1
