MyUnknownColumn,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
11,5018498,F,Y,Y,0,90000,Working,"Secondary / secondary special",Married,"House / apartment",-18950,-1002,1,1,1,0,"Cooking staff",2,1
12,5018501,F,Y,Y,0,191399.3262,Working,"Secondary / secondary special",Married,"House / apartment",-18950,-1002,1,1,1,0,"Cooking staff",2,1
13,5018503,F,Y,Y,0,90000,Working,"Secondary / secondary special",Married,"House / apartment",-18950,-1002,1,1,1,0,"Cooking staff",2,1
25,5024213,F,Y,Y,0,540000,"Commercial associate","Higher education",Married,"House / apartment",-15702,-185,1,0,1,0,Laborers,2,1
37,5036660,F,Y,Y,0,76500,Pensioner,"Secondary / secondary special",Married,"House / apartment",-23835,365243,1,0,0,0,Laborers,2,1
59,5053254,F,Y,Y,0,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-18667,-2150,1,1,0,0,Managers,2,1
77,5065348,F,Y,Y,0,202500,Working,"Higher education",Married,"House / apartment",-15160,-3974,1,0,0,0,"High skill tech staff",2,1
80,5068389,F,Y,Y,1,270000,Working,"Higher education",Separated,"House / apartment",-14052,-140,1,0,1,0,"Sales staff",2,1
83,5069216,F,Y,Y,0,256500,"Commercial associate","Higher education",Married,"House / apartment",-11210,-1724,1,1,0,0,Accountants,2,1
84,5069218,F,Y,Y,0,256500,"Commercial associate","Higher education","Single / not married","House / apartment",-11210,-1724,1,1,0,0,Accountants,2,1
138,5125708,F,Y,Y,0,135000,Working,"Lower secondary",Married,"House / apartment",-16413,-622,1,0,1,0,"High skill tech staff",2,1
139,5125716,F,Y,Y,0,135000,Working,"Lower secondary",Married,"House / apartment",-16413,-622,1,0,1,0,"High skill tech staff",2,1
185,5033574,F,Y,Y,1,191399.3262,Working,"Secondary / secondary special",Married,"House / apartment",-14222,-141,1,1,1,0,"Cooking staff",3,0
211,5143231,F,Y,Y,1,1575000,"Commercial associate","Higher education","Single / not married","House / apartment",-10142,-2479,1,0,0,0,Managers,2,0
226,5028917,F,Y,Y,0,112500,Working,"Secondary / secondary special",Married,"House / apartment",-17202,-1787,1,0,0,0,"Sales staff",2,0
228,5095310,F,Y,Y,0,225000,Working,"Higher education",Married,"House / apartment",-12322,-3717,1,0,0,0,"Core staff",2,0
233,5143235,F,Y,Y,1,1575000,"Commercial associate","Higher education","Single / not married","House / apartment",-10142,-2479,1,0,0,0,Managers,2,0
236,5054522,F,Y,Y,1,135000,Working,"Higher education",Married,"House / apartment",-10014,-2311,1,0,0,0,Laborers,3,0
241,5126034,F,Y,Y,0,108000,Working,"Secondary / secondary special",Separated,"House / apartment",-17171,-925,1,0,0,1,"Cleaning staff",1,0
248,5139548,F,Y,Y,2,157500,"Commercial associate","Higher education",Married,"House / apartment",-13584,-6337,1,0,1,0,"Medicine staff",4,0
256,5085990,F,Y,Y,0,225000,Pensioner,"Secondary / secondary special",Married,"House / apartment",-21717,365243,1,0,0,0,Laborers,2,0
261,5105614,F,Y,Y,2,135000,Working,"Higher education",Married,"House / apartment",-12334,-460,1,0,0,0,Accountants,4,0
265,5009980,F,Y,Y,0,180000,"State servant","Secondary / secondary special",Married,"House / apartment",-20644,-3873,1,0,0,0,"Medicine staff",2,0
274,5009074,F,Y,Y,1,450000,"State servant","Higher education",Married,"House / apartment",-17726,-708,1,0,1,1,"Core staff",3,0
278,5116018,F,Y,Y,0,450000,Pensioner,"Higher education",Widow,"House / apartment",-22083,365243,1,0,1,0,Laborers,1,0
288,5023280,F,Y,Y,0,180000,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-16701,-2457,1,0,0,0,"Sales staff",2,0
299,5021267,F,Y,Y,1,270000,Working,"Secondary / secondary special",Married,"House / apartment",-14512,-4596,1,0,0,0,Laborers,3,0
306,5090861,F,Y,Y,0,202500,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-19765,-2168,1,0,0,0,"Sales staff",2,0
324,5069227,F,Y,Y,0,191399.3262,"Commercial associate","Secondary / secondary special",Married,"House / apartment",-17330,-962,1,0,1,0,"Sales staff",2,0
332,5035688,F,Y,Y,0,135000,Working,"Secondary / secondary special","Civil marriage","House / apartment",-16505,-8377,1,0,0,0,Laborers,2,0
